,id,symbol,name
0,01coin,zoc,01coin
1,02-token,o2t,O2 Token
2,0cash,zch,0cash
3,0chain,zcn,0chain
4,0x,zrx,0x
5,0xcert,zxc,0xcert
6,0xdark,oxd,0xDark
7,0xeth-cash,0xech,0xETH Cash
8,0xeth-classic,0xetc,0xETH Classic
9,0xethereum-token,0xeth,0xEthereum Token
10,0xeth-sv,0xesv,0xETH SV
11,0xmaker-token,0xmkr,0xMaker Token
12,10m-token,10mt,10M Token
13,10x-long-algorand-token,algomoon,10X Long Algorand Token
14,10x-long-altcoin-index-token,altmoon,10X Long Altcoin Index Token
15,10x-long-bitcoin-cash-token,bchmoon,10X Long Bitcoin Cash Token
16,10x-long-bitcoin-sv-token,bsvmoon,10X Long Bitcoin SV Token
17,10x-long-bitcoin-token,moon,10X Long Bitcoin Token
18,10x-long-bnb-token,bnbmoon,10X Long BNB Token
19,10x-long-eos-token,eosmoon,10X Long EOS Token
20,10x-long-ethereum-classic-token,etcmoon,10X Long Ethereum Classic Token
21,10x-long-ethereum-token,ethmoon,10X Long Ethereum Token
22,10x-long-exchange-token-index-token,exchmoon,10X Long Exchange Token Index Token
23,10x-long-huobi-token-token,htmoon,10X Long Huobi Token Token
24,10x-long-leo-token,leomoon,10X Long LEO Token
25,10x-long-litecoin-token,ltcmoon,10X Long Litecoin Token
26,10x-long-midcap-index-token,midmoon,10X Long Midcap Index Token
27,10x-long-okb-token,okbmoon,10X Long OKB Token
28,10x-long-shitcoin-index-token,moonshit,10X Long Shitcoin Index Token
29,10x-long-trx-token,trxmoon,10X Long TRX Token
30,10x-long-xrp-token,xrpmoon,10X Long XRP Token
31,10x-short-algorand-token,algodoom,10X Short Algorand Token
32,10x-short-altcoin-index-token,altdoom,10X Short Altcoin Index Token
33,10x-short-bitcoin-cash-token,bchdoom,10X Short Bitcoin Cash Token
34,10x-short-bitcoin-sv-token,bsvdoom,10X Short Bitcoin SV Token
